data_vencimento,K,cod_negociacao,T,S,r,sigma,cotacao_op,moneyness,call_price_bs,call_price_lstm
2023-10-20,82.54,VALEJ860-2023-82.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.06,OTM,0.3900415693605366,0.11649406
2023-10-20,86.54,VALEJ900-2023-86.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.05,OTM,0.20563773979886468,0.070854425
2023-10-20,91.54,VALEJ950-2023-91.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.04,OTM,0.08855803837706389,0.044465482
2023-10-20,94.54,VALEJ980-2023-94.54,0.21031746031746032,62.96,0.13149860316976114,0.365584391829879,0.05,OTM,0.05237022339132602,0.033328295
2023-11-17,64.23,VALEK658-2023-64.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,3.75,ATM,5.863140462082427,4.7363977
2023-11-17,65.23,VALEK668-2023-65.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,3.23,ATM,5.396610639507479,4.289185
2023-11-17,67.23,VALEK688-2023-67.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,2.32,OTM,4.547522631567418,3.2606053
2023-11-17,68.23,VALEK698-2023-68.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,1.86,OTM,4.163561485802411,2.8669279
2023-11-17,70.23,VALEK718-2023-70.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,1.45,OTM,3.4725142953003,2.1361728
2023-11-17,71.23,VALEK728-2023-71.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,1.4,OTM,3.16346745148358,1.7937784
2023-11-17,72.23,VALEK738-2023-72.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,0.8,OTM,2.8773326273374202,1.4989281
2023-11-17,73.23,VALEK748-2023-73.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,0.8,OTM,2.6130041056386872,1.2588277
2023-11-17,74.23,VALEK758-2023-74.23,0.32142857142857145,62.96,0.13149860316976114,0.365584391829879,0.7,OTM,2.3693518388279493,1.0664978
2023-12-15,95.03,VALEL10-2023-95.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,0.1,OTM,0.5568923604843423,0.25404233
2023-12-15,97.03,VALEL2-2023-97.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,0.1,OTM,0.46125128133546767,0.22903508
2023-12-15,66.03,VALEL676-2023-66.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,3.5,ATM,6.291704747276476,5.080054
2023-12-15,69.03,VALEL706-2023-69.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,2.0,OTM,5.070947270265297,3.610449
2023-12-15,70.03,VALEL716-2023-70.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,2.12,OTM,4.708687841267015,3.160683
2023-12-15,74.03,VALEL756-2023-74.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,1.2,OTM,3.4643674095340806,1.7573416
2023-12-15,75.03,VALEL766-2023-75.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,1.05,OTM,3.200597582132371,1.5225127
2023-12-15,80.03,VALEL816-2023-80.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,0.1,OTM,2.1250954218957308,0.81209767
2023-12-15,82.03,VALEL857-2023-82.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,0.38,OTM,1.793459920040279,0.6524714
2023-12-15,87.03,VALEL904-2023-87.03,0.43253968253968256,62.96,0.13149860316976114,0.365584391829879,0.25,OTM,1.1583393767609103,0.42181066
2024-01-19,71.54,VALEA731-2024-71.54,0.5158730158730159,67.67,0.13149860316976114,0.419778751310557,2.62,OTM,8.477140525989032,5.489303
2024-01-19,74.54,VALEA761-2024-74.54,0.5158730158730159,67.67,0.13149860316976114,0.419778751310557,3.21,OTM,7.274268659826369,4.399993
2024-01-19,89.54,VALEA930-2024-89.54,0.5158730158730159,67.67,0.13149860316976114,0.419778751310557,0.58,OTM,3.1998453731223826,1.0239611
2024-02-16,62.54,VALEB641-2024-62.54,0.626984126984127,67.67,0.13149860316976114,0.419778751310557,10.5,ITM,14.249951574334489,11.276886
2025-03-21,81.54,VALEC850-2025-81.54,2.2103174603174605,67.67,0.13149860316976114,0.419778751310557,8.1,OTM,19.31856410167461,11.343914
2024-04-19,92.95,VALED100-2024-92.95,0.876984126984127,67.67,0.13149860316976114,0.419778751310557,1.2,OTM,5.638093260133584,2.0208528
2024-04-19,73.95,VALED755-2024-73.95,0.876984126984127,67.67,0.13149860316976114,0.419778751310557,5.3,OTM,11.317224588938394,6.9962716
2024-05-17,114.29,VALEE118-2024-114.29,0.9880952380952381,67.67,0.13149860316976114,0.419778751310557,0.3,OTM,3.137421496769928,1.0106736
2024-06-21,92.95,VALEF100-2024-92.95,1.126984126984127,67.67,0.13149860316976114,0.419778751310557,1.61,OTM,7.703610399849428,3.4027424
2024-06-21,102.95,VALEF11-2024-102.95,1.126984126984127,67.67,0.13149860316976114,0.419778751310557,0.8,OTM,5.6642886395519625,1.6776288
2024-08-16,66.29,VALEH700-2024-66.29,1.3492063492063493,67.67,0.13149860316976114,0.419778751310557,12.0,ATM,18.884015788817514,13.528143
2023-09-15,81.03,VALEI10-2023-81.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,0.01,OTM,0.000384621352010419,0.06867653
2023-09-15,34.03,VALEI366-2023-34.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,33.93,ITM,33.71095604020338,34.503826
2023-09-15,54.03,VALEI556-2023-54.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,14.15,ITM,13.752663999882046,13.7195215
2023-09-15,56.03,VALEI576-2023-56.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,12.05,ITM,11.756951166985516,11.789129
2023-09-15,57.03,VALEI586-2023-57.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,10.92,ITM,10.759374173575821,10.831307
2023-09-15,58.03,VALEI596-2023-58.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,9.97,ITM,9.76253073964832,9.966479
2023-09-15,59.03,VALEI606-2023-59.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,8.88,ITM,8.767634733997802,9.021043
2023-09-15,60.03,VALEI616-2023-60.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,7.9,ITM,7.777328320785777,7.995244
2023-09-15,61.03,VALEI626-2023-61.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,6.92,ITM,6.79667722565658,6.9593334
2023-09-15,62.03,VALEI636-2023-62.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,5.96,ITM,5.834252331731484,5.9041476
2023-09-15,63.03,VALEI646-2023-63.03,0.015873015873015872,67.67,0.13149860316976114,0.419778751310557,4.93,ITM,4.902851152184439,4.8669577
